Title,Storyline
A Coffin of Stars,"In rural Virginia, a man unwittingly discovers a mysterious cosmic force haunting not only the woods beyond his property, but the very starlight above. Soon, he will come to realize that this isn't an abduction he's facing...it's revenge."
A Cold Grave,"A chilling silence follows a girl's disappearance in a haunted forest. Prompting her brother to brave the dark woods, he unveils the secrets that lurk beneath, and a chilling mystery awaits."
A Desert,"A photographer's road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror."
A Detox Horrific,"A down on his luck junky decides to lock himself in his basement for detox. He could have never predicted his demons would manifest. How far would you go to get clean? A Detox Horrific explores the horrors and misery of withdrawal symptoms as Jax navigates his new and claustrophobic situation. As he tries to fill his time to distract himself from the pain - something is manifesting down the hallway - something sinister. In order for Jax to come out of the other side of his addiction, he will have to face his demons and confront himself before it's too late. One thing is for sure - this is A Detox Horrific."
A Fisherman's Tale,"Legend says that long ago, nature thrived in harmony around the lake, until evil arrived. Men, blinded by dark desires, brought fear, hate, and death. Fishermen call it La Miringua, the one that drags you in the lake for your sins."
A Game in the Woods,"After a Texas rancher dies, his granddaughter and her girlfriend discover masked hunters at his ranch competing in a twisted game of life and death. Will the beauties and their already rocky romance survive the brutal carnage?"
A Gong,"After the mysterious deaths of her three sons, Teang sought help from a Feng Shui master to protect her remaining family members. In the process, she discovered unsettling truths connected to her father, A Gong. His restless spirit had returned to haunt the family. The only solution seemed to be exhuming his grave, but the process was delayed due to another family death, forcing Teang to endure 100 days of fear as terrifying events continued to unfold, and her youngest son's life was constantly in danger."
A Halloween Feast,"Former ballerina Angela descends into madness as her family tries to cope. After an infamous dinner, their lives spiral into unexpected chaos. All skeletons come out at a Halloween party."
A Haunting in Council House,"War refugee Yara arrives at a shelter, meets volunteer Lucas. They move in together, but their fresh start unravels as hidden truths surface."
A Hell of a Difference,"When impulsive Rebel Hannah goads her friends into summoning a demon for some hellish hijinks, the gang are totally bedevilled by what they bring to Earth. It's a demon alright, but one in training who needs help to ""earn his devil horns""."
A Hot Mess,"There's a wildfire at a rural holiday home retreat, school friends must escape before the fire spreads, or before the arsonist gets to them."
A Lenda dos Quatro,Beyond that door hides your worst nightmare.
A Maldição de Romanova,"Fifteen years ago, four inseparable friends-Luís, Sabrina, Rogério, and Vasco-embarked on a dangerous adventure. What started as innocent curiosity turned into a life-altering nightmare. A classmate had vanished without a trace, and determined to solve the mystery, the group ventured deep into the town's forbidden woods. There, they discovered something far worse than they could have imagined: Romanova, a witch of unspeakable evil, centuries old and fueled by dark rituals that involved sacrificing children to expand her immense powers. That night, the friends narrowly escaped, but they lost one of their own-a friend who would never come home. The trauma of what they saw and experienced haunted them, even as they grew older and went their separate ways. Now adults, Luís remains tormented by memories of Romanova and what happened that night. While the others have tried to bury the past and move on, Luís has spent years obsessively researching the witch's origins, her power, and the lore that surrounds her. Convinced that Romanova was never truly defeated, Luís believes she is preparing to rise again. His obsession turns into grim validation when strange events begin to occur in their hometown. Children are disappearing once more, and eerie signs-symbols carved into trees, whispers in the dark, and shadowy figures-indicate that Romanova's power is returning. Desperate to stop the witch before she fully regains her strength, Luís reconnects with Sabrina, Rogério, and Vasco. Reluctant at first, the group's fears are reignited as Luís reveals unsettling evidence. Together, they return to the place that has haunted them for years: the woods where it all began. But the Romanova they face now is stronger, more vengeful, and far more dangerous. As their bonds are tested and long-buried secrets resurface, Luís and his friends realize they are not just fighting to stop Romanova-they're fighting to survive. The line between past and present blurs as the friends confront their childhood trauma, uncover dark truths about Romanova's origins, and come face to face with their deepest fears. Luís, driven by guilt and revenge, must make an ultimate sacrifice to destroy the witch before she consumes more innocent lives. But Romanova is cunning, and her power has grown beyond anything they expected. As the final confrontation looms, the group discovers that defeating her may require more than they're willing to give. Will Luís and his friends succeed in breaking Romanova's curse, or will they become part of her dark legacy, doomed to be forgotten like so many before them?"
A Melty Kiss Lost in the Abyss - Un Dolce Bacio Perduto nell'Abisso -,"Five girls with mental diseases are choosen for a new kind of therapy, bases on soundwaves. The results are unexpected."
A Most Atrocious Thing,A weekend getaway becomes deadly when bad blood turns a group of friends against each other.
A Mother's Embrace,"During massive 1996 Rio storm, firefighter Ana and her firefighter team must evacuate a collapsing nursing home, but the mysterious residents have other sinister plans."
A New Dawn,"In a post-apocalyptic 2029, a mysterious survivor is found near an Imam Bargah by desperate people, unaware he's meant to lead them. As a massive horde nears, he must guide them on a perilous journey to a fleeting refugee camp before doom."
A Noiva,The lives of two countryside couples change as soon as a mysterious young woman appears near their property.
A Party for Karl Marx,"Friedrich funds a contemporary clone of Karl Marx. Marx's hideout is in Peru. Karl will be in a meeting of the Communist Party. Dads, moms, and kids arrive to enjoy a birthday party. Karl freaks out, noticing a priest and nuns."
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy."
A Savior Red,"Five friends face life-threatening consequences after a botched drug deal, testing their friendship's limits as they navigate intense terror and brutality while fighting for survival."
A Stranger in the Woods,"A young film student is about to make a documentary about an elderly man who has been hiding from the world for many years. But as secrets from his past come to light, their strange relationship takes a fateful turn."
A Taste for Flesh,N/A
A Time to Die,"Part human / part zombie, a soldier from the future is pulled back in time to the present day where everyone considers her to be a monster. But it's her mission to battle the nefarious Zombie Queen and save all of humanity from a zombie apocalypse."
A Vanished Puppet,N/A
A Very Flattened Christmas,Christmas at a roadkill collection company gets bloody as employees are killed off one by one by an evil reindeer who is dead set on killing them all. Will they figure out who's the killer? Or will they all be Flattened?
A Very Special Terrifier Christmas,"Fight off a killer winter and settle in by the fire with Art the Clown. Chestnuts are roasting, terror is toasting, and the screams create the perfect jolly ambient tone to relax to in this fireside special."
A Wedding Story,A happy marriage that soon turns into a nightmare as ominous occurrences begin to haunt the bride and groom families.
A Witch Lives in the Attic,"A witch and other strange things live in the attic above lonely, dope-addled artist, Grey Neilson. After meeting Renee, Grey struggles to appease these beings, as she tries to find her place within the outside world."
A yard of jackals,Follows a modest middle-aged man who's neighborhood's peace is disrupted when a gang of menacing neighbors take over the street.
A.R.C.A,"After discovering a massacre in the executive boardroom, four colleagues must deactivate the facility lockdown, while discovering the mystery of their bosses' murder, before a nuclear bomb destroys the covert supernatural holding facility."
ANiMA,"Sociology student Rose joins her actor fiancé on a remote cabin-in-the-woods creative retreat with hopes of inspiration for her thesis. Working and living with the eccentric theatre troupe, she becomes a de facto member. As personal and group tensions rise, the troupe receives stunning news: a radiological event has occurred and the end of the world is near. What devolves is a delirious meditation on gender, power, and creativity."
Abaasylaakh Khaus,"A couple on the eve of their wedding is faced with a major problem - the refusal of a best man at the last minute. In desperation, the guy turns to his eccentric friend Ilya. Together they decide to throw an unforgettable bachelor party, but plans go awry when they rent a country house for the party. Real madness begins and they find themselves in serious trouble."
Abductee,One man's descent into madness as he tries to discover what comes for him in the middle of the night.
Abduction Chronicles,"Based on true events, Abduction Chronicles gives a first-person point of view of the horror and violence that goes along with human trafficking in the US."
Abduction: The Harvesting,A mother must battle occult phenomena and a wide conspiracy when the alien abduction of her teenage son looks like demonic possession.
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Abnormal: Buas,A secret society that developed a superhuman program to be their spies and assassins. One of the superhumans escaped and took refuge in a house where a family lives. Things went out of hand when three robbers broke into the house.
Adipocere,"The debut film from young filmmaker Charlie Ellis, ADIPOCERE is a lo-fi horror tale featuring heavy atmospheric tension and creative use of unusual video elements. Fun Facts: Charlie Ellis was originally going to use the money they had saved up for this film to start a pizza making youtube channel but after their friend passed away and the director of Skinamarink liked their parody film ""Peteamarink"", they decided to commit to making this project instead."
Adopt me All hallows Eve II,In a small town called adoption Island known for its low crime rate and very safe living but behind everything there was a monster and if you say his name three times pumpkin pumpkin pumpkin he will appear someone did it again it's up to Piper to figure out how to stop him he's more brutal this time.
Adrian,N/A
Advent,"A girl comes across a cursed advent calendar, and plays a game against the devil in the run up to Christmas."
Adze the African Vampire,"When a viral video ignites whispers of an African Vampire, a myth-busting YouTuber teams up with three social media icons in a perilous hunt for the truth."
Afraid,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.
After the First Five Nights,"Mike returns to Freddy's after all those years of trauma, but he doesn't come alone, him and Henry rediscover the horrors and uncover a chilling truth"
Agapouse ta louloudia perissotero,Three brothers build an unusual time-machine in order to bring their long-dead mother back to life.
"Agnes, Beauty is a Painted Hell",A struggling fashion designer becomes entrapped by her benefactor.
Agrinai,Three most wanted killers have managed to escape from a secret experiment lab and they start to kill the villagers.
Ahbar,N/A
Aiden,"In a desperate bid for survival, Aiden flees the suffocating grip of domestic violence and seeks refuge in a remote cabin, where unconventional therapy sessions force him to confront his past, which opens an intriguing twist."
Air Fryer Slaughter,An Evil Air Fryer claims victims in this Troma-inspired blood bath.
Akh,"Feeling drained of life and purpose, Shihab plans a desert camping trip to rid himself of his dependent, wheelchair-bound brother Suhail. Upon arrival, a chain of events is set in motion where ugly truths come to light, exposing the dark side of the brotherly bond that has plagued humanity since Caine and Abel."
Akkada Varu Ikkada Unnaru,"A girl named Sarika was walking from her school, then a chapal hit her, from that day onwards she will see that chapal everywhere. In the same village Ramaiah will encounter the same situation with a broom."
Alaikyaa,"The beautiful Guesthouse turn into a ghostly and haunted house, making it impossible for people to stay. precious diamond in the house that is guarded by these Souls."
Alem-i Cin 5: Azap,N/A
Alien Country,"Reeling from the news of an unexpected pregnancy, Jimmy and Everly unknowingly release an alien invasion in their small town and learn to work together in order to save each other, their town and evidently, the entire galaxy."
Alien Legacy: Terror on Luxor Ridge,"Kate, a private detective investigating the disappearance of a girl, travels to a quaint English village in search of answers. What she unearths is true otherworldly terror and an alien legacy more horrifying than the blood thirsty locals."
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
All Hallows' Eve: Inferno,"From an executive producer of Terrifier 2 comes All Hallows' Eve: Inferno, a new installment of the franchise that first introduced the world to Damien Leone's Art the Clown and the short film Terrifier."
All That Remains,"In a world ravaged by inhuman predators, an isolated girl struggles to cope with the grief of losing her family by befriending a storytelling radio operator. This is a film about guilt, grief, and the creative spirit."
All We Wanted,"A filmmaker and his friends travel to a remote estate for a meeting with a family of potential investors. The night takes a deadly turn, as they must band together with the family and fight for their lives against a group of masked men."
All of it Ends,N/A
Alone,"Isolation leads to insanity as an ominous shadow figure stalks Felicia, a domestic violence survivor, throughout pandemic lock-down. Who is Black Boots?"
Alone in the Night,Stephanie and her friends run into car trouble and stay over at an empty house...or is it?
Alpacalypse,"After a bad science experiment, genetically engineered alpacas terrorize a small town this holiday season."
Alter-Ego Film Project,"5 short films on the theme of the Alter-Ego. Between double personality, secret identity, doppelganger and impossible love we have discovered several unconventional stories halfway between narrative and experimental."
Alyad Palyad,"A group of friends find themselves stranded in an island village during the three days it's believed to be haunted by vengeful spirits, forcing them to confront the dark secrets behind the village's eerie traditions"
Am Fear Liath,"In the mystical woods, whispers of a Bigfoot-like legend swirl, captivating the imagination of locals. Enter Fred, an ambitious entrepreneur thriving on Bigfoot tourism. When a relentless debt collector threatens to seize Fred's livelihood--the iconic Bigfoot tour van--he faces the battle of his life to save his business and home, preventing him and loyal friend Paddy from the brink of homelessness. Fred's last hope lies in two unexpected allies: the spirited tourist Marty and her adventurous companion Ger. Together, they embark on a thrilling quest, but standing in their way is the cunning cryptozoology expert, Rheinhold, who harbours secrets that could change everything."
Ame no naka no yokujô,"A love triangle unfolds between two men and a woman, exploring the intense and bittersweet emotions of their entanglement, set against the backdrop of Chiayi City's retro streets evoking old Japan."
American Terror Tales 3,Seven new tales of terror from the Heartland will rip your heart out.
American Werewolf,"Sheriff Sam Anderson, determined to capture a savage killer in the tranquil town of Pinegrove, discovers a shocking truth - the vicious werewolf he hunts may be closer than he ever imagined."
Amigo,N/A
Amir,N/A
Amityville AI,"Stuart Birdsall is moving into a new house to finish developing his breakthrough Artificial Intelligence program, VIC 3000. The only problem is that the house is possessed, and now so is his PROGRAM."
Amityville Backrooms,"After visiting a house in Amityville, Keith finds himself suddenly transported to another realm within the home, with no way to get out. Every door he tries leads him back into the very part of the house that he first found himself in."
Amityville Bigfoot,"Birdwatchers, activists, scientists, and a film crew unknowingly converge in Bigfoot's neck of the woods, where something even more sinister lurks."
Amityville Turkey Day,"A turkey from hell comes home for dinner on Thanksgiving, terrorizing the film set of an indie horror film"
Amityville VR,"After moving into a mysterious rental house in Amityville, New York, Artificial intelligence programmer Stuart Birdsall encounters an evil force so vile and deadly that it kills his wife, his friends, and strips him of his sanity."
Amityville Webcam,"This is a tale about a group of monsters who are playing your typical game of Humans and horror. This however, is not your typical game as it takes place in Amityville with a Demonic Camera and a host of youtubers."
Amityville: Where the Echo Lives,"When paranormal investigator Heather West receives a call from a terrified woman who claims her house is inhabited by a ghost, she discovers the building has a horrifying history."
Amp House Massacre,A group of social media influencers sharing a mansion in the Hollywood Hills find themselves caught in a life and death game of survival as a killer reveals their deepest secrets before killing them off one by one.
An Intruder Among Us,N/A
Anaconda,"A re-interpretation of the iconic '90s creature feature, in which a group of circus athletes - having found themselves stranded in a rain forest - come face-to-face with the elements, a bloodthirsty poacher, and a formidable giant snake."
Anagana O Rajkumarudu,N/A
Anak Perjanjian Syaitan 2,"A young woman named Azlinda in her struggle against a mystical battle that has haunted her since childhood. Although Azlinda has been medically diagnosed with ""anxiety disorder"", she is convinced that the disorder that has haunted her since childhood is closely related to her parents' black history, so much so that her father is no longer willing to raise Azlinda and is determined to hand over Azlinda to a welfare center. Will Azlinda be able to fight the doom pact that has become part of her flesh and blood, or will she continue to live in darkness for the rest of her life?"
Ananya,"The movie revolves around the girl called Ananya, who comes from great orthodox family, Even though she comes from a great family. The Antagonist of the film is also from her family where he abuses Ananya from the childhood."
Anatema,"Juana descends into the catacombs of Madrid in search of the mythical Seal of San Simeon, accompanied by a priest, a novice and an exorcist. They will face supernatural forces and secrets that threaten to unleash an ancient evil."
Andrey Iskanov's Breaking Uroboros,N/A
Angel with a Gun,N/A
Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world."
Animale,"Camargue, France - Nejma trains hard to win the local bullfighting competition. When she is mauled after a celebration, she starts to notice disturbing changes. News of a rogue bull on the loose terrifies the community, killing young men."
Anna,A youtube vlogger investigates a series of suicides happening in the town and sets out to prove his theory that a supernatural force is the cause of these suicides.
Another Cabin in the Woods Movie,"In this tongue-in-cheek spoof, horror-savvy characters are trapped in yet another cabin in the woods, where they are forced to navigate murder and red herrings to uncover who will stop at nothing for their twisted happily ever after."
Antropophagus Legacy,"Everything in Hanna's life suddenly seems to fall apart. Accused of the brutal murder, she will ask for help from her cousin Hugo, who will drag her into a spiral of violence involving a dark past and a bloodline to be dealt with."
Anxiety,"A recovering alcoholic's journey lurches into a nightmare tailspin during a global crisis. Sober for only a few months, her sanity erodes as the demon in her brain drags her deeper and deeper into a vortex of madness."
Apartment 7A,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame."
Apex Predators 2: The Spawning,"Mutated, flying Sharks wreak havoc along the beach during an annual Volleyball tournament."
Aphasia,"Following a failed suicide attempt, Sarah watches herself leave her body and become an empty vessel for anything to crawl in. When she re-enters her body she learns that she isn't alone."
Apocalypse Love,It's a zombie/alien apocalypse. But that triviality wont stop Tom from getting the love of his life back from the grave with a little help of necromancy.
Apocalypse Z: The Beginning of the End,"Manel is sheltering from a rabies-like disease which sweeps the planet, until he is forced to leave and meet unlikely but essential traveling companions."
Apokrif,Nameless character walks a mysterious through the city.
Apostando con el diablo,N/A
Appetite for Sin,"The story focuses on FBI agent Sarah Hase, a vampire, hunting vampire killer Jeffery Nelson. Another vampire simultaneously pursues Nelson for unknown reasons, escalating the race to find him first while questioning character motives."
Aranam,"The backdrop of a village called Aranthangi, and the central drama is focused on the efforts of a foster son of a dead zamindar."
Aranmanai 4,"After his sister's suspicious death, a man decides to discover the hidden truth, setting off a chasm for chaos and terror."
Arbor Day,Johnny is having trouble balancing his work and his relationship. When his girlfriend breaks up with him he decides it's time to turn all women into trees as a way to help the planet and get revenge.
Arcadian,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.
Archai,Zaccaria is an old man living in isolation in a shack. Three people visit him and force him to summon a creature to save a girl's life.
Arctic Hollow,"An Alaskan bush pilot attempts a daring rescue of a stranded researcher deep inside an arctic cave system thought to be an entrance to the inner earth, only to find himself battling creatures not of this world."
Are Vampires Real,"Are Vampires Real uncovers chilling tales of alleged real vampires across the U.S. From Alaska to New Orleans, explore historical accounts, eerie legends, and modern mysteries. Are they myth, reality, or something in between?"
Are You Dead Yet?,"When a group of thrill seekers venture into supposedly haunted woods, they must fight to survive against a maniac with a mallet and a taste for blood."
Are You There?,"A paranormal psych student's ritual candle starts a deadly game of twenty questions. As wax drips away, she races to survive, learning some mysteries should stay buried."
Art of a Hit,"With their careers on the line, a late-90s rock band journeys to a French chateau to record with an elusive super-producer. But as tensions rise and tempers flare, they realize they're up against more than just the pressure to succeed."
As Close to Me As Always,"Tragic Nica Younger, heir to his family's pristine art collection visits controversial hypnotist Bella Demona."
As Mortes de Hera,"While recording a documentary about her life, Hera, a young woman with a mind divided by multiple personalities, encounters a supernatural threat willing to banish her into the void of oblivion."
Asgaar,"Sanket from Dehradun, he goes to remote village investigating a series of murders that occur on Saturday. Villagers are belives spirit, but Sanket, a man of logic. Neema like sanket. Sanket face the killer. Will he unmask the truth?"
Asher and Ruth,A woman with a troubled past is suddenly haunted by a vampire after losing her job during the pandemic shutdowns.
Ateet Ek Prem Kahani,N/A
Atesten Dogan,N/A
Athma,Abhi and his friends travel to a homestay to spend the weekend. While a ghost hunter amongst them has secretly planned to find the negative energy in that homestay. Will he be able to find the negative energy?
Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival."
B Lines,"When a woman is stalked by a dangerous man from her past, she calls on an unlikely friend for help."
Ba,"A single father deceived into a treacherous career as the grim reaper, while his precocious daughter Collette (Cech) grows increasingly suspicious of his whereabouts."
Baby Invasion,"An ultra-realistic, multiplayer FPS game follows a group of mercenaries using baby faces as avatars. Tasked with entering mansions of the rich and powerful, players must explore every rabbit hole before time runs out."
Baby Pillows,"Based off the dolls, six characters (who are now much darker in manner) go on an adventure of all sorts leaving a trail of mystery and bloody carnage."
Bad Ben 13: The Dracula Situation,Tom Riley once again owns the home on Steelmanville Road. He discovers the previous owner had a tenant that he legally can't evict because he had a lease. That tenant is Dracula.
Bad Ben 14: Frankenstein,N/A
Bad Fish,"When a marine biologist investigates mysterious deadly attacks on fishermen in an Oregon coastal town, he discovers the culprit is a mermaid who must find a mate to breed with before returning to the sea."
Bad Things,Who is infected? Who is the AI killer among them? A group of stranded teenagers must discover the meaning of being human in order to save the world and be back home in time for tea.
Bag of Lies,"Desperate to save his dying wife, Matt turns to The Bag, an ancient relic with dark magic. The cure demands a chilling ritual and strict rules. As his wife heals, Matt's sanity unravels, facing terrifying consequences."
Bagman,"When a sinister threat from his childhood returns to haunt him, a father desperately struggles against his deepest inner fear. Only this time, the fight isn't for himself; it's for his family."
Balaayen,"Young couple is walking home from office late one night. It becomes a pleasant walk, as they enjoy each others' company. Some strange events unfold that night. The couple are back into their normal lives. The girl feels some changes and starts falling into fear and depression She feels that someone is attacking her in her dreams. Doctors are unable to diagnose her problem. Her work and family life start getting affected. Her mother takes her to a spiritual guru, who immediately catches her problem The guru mentally takes her back to the same journey through that night She reveals that something had transpired on the way. That she had met some-one, who was now trying to control her life."
Bananahead,N/A
Bangsal Isolasi,A female journalist disguises herself as a prisoner to investigate a murder case. The investigation led him to the terrible secret of the isolation room.
Bannkorb,"Germany, 1945: The Second World War is over. Josef, a former SS colonel, lives a secluded life in a hut deep in the forest. His only companions are his bees. The idyll proves to be a facade, because the demons of the past haunt Josef."
Bantay-bahay,"An over-enthusiastic vlogger and podcaster Caleb unwittingly complied with the request of his girlfriend Ella to play house sitter for her grandmother's provincial residence. Unknown to Caleb, the house is not only isolated by embedded with a dark history which was well-guarded as a secret."
Barda,"Barda is about the terrible events that happen to a group of friends who come together for a celebration in a bar. Also labeled as ""Türkiye's First +18 Realistic Film""."
Bare,N/A
Baridegi: The abandoned Girl,A shaman vows a revenge against a powerful man who killed his family- by bringing the dead back to this world.
Basileia,Archaeologist exploring tomb in Southern Italy's Aspromonte mountains accidentally awakens ancient evil forces.
Beach Chain,A group of strangers from different walks of life are quickly immersed in a life or death mystery.
Bed of Nails,"Goth kids cut through rural Florida where they are confronted by four rednecks. After accidentally killing one of the kids, the rednecks kill the remaining two kids but one of the kids returns from the grave to enact a brutal revenge"
Bedtime Stories: Tales of Love and Hate,N/A
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
Beezel,"Over 60 years, three guests of a cursed home discover an eternal witch who lives beneath it with an insatiable thirst for living souls."
Behave,"After the death of their friend, a group of eccentric young adults are whisked away to a villa on the outskirts of London, but a mysterious entity seems to have followed them to their luxurious getaway."
Behold the Claw,"Five strangers meet online and come together to take a pilgrimage to Loch Ness, unaware that one of their number is a serial killer."
Believe Me or Not,"While walking in the woods, a group of teens encounter an old woman with a doll behaving strangely beside a lake. They take the doll from her, with devastating consequences."
Believer,"A struggling writer finds herself at the center of the story she is covering when brutally attacked by a notorious cult leader and mass murderer, a man who exerts an inexplicable control over his followers."
Belldoor,N/A
Beneath the Floorboard,Two friends apprehend a horrifying creature in their cabin's basement and discuss their next steps as the creature's presence increasingly encroaches them.
Bernadette will töten,A desperate woman feels the urge to kill and enters the dark net - what could possibly go wrong?
Bet on Black,"Two filmmaker friends want to create their passion project, but no studio wants to bring it to life. Until they stumble upon a duffle bag in the woods stuffed with cash with a dead body."
Betting with Ghost,Centers on a man who becomes a 'God of Gamblers' suddenly with the help of the Ghost.
Bhairadevi,N/A
Bhavanam: The Haunted House,N/A
Bhool Bhulaiyaa 3,"Ruhaan, a fraudster posing as an exorcist, takes on a lucrative case at a haunted castle, unraveling a sinister plot involving mischievous priests, culminating in a hilarious yet thrilling ride filled with unexpected twists and scares."
Bhootarth,N/A
Bhootpori,A little boy encounters the ghost of a deceased woman pleading for his assistance in uncovering the truth about her death.
Biaz: Kara Iyenin Laneti,Four university students summon an ancient spirit from a different dimension with a liturgical notebook they found. They will soon realize that their own lives are in grave danger.
Big Bad CGI Monsters,Two Scientists are tasked with finding a way to destroy giant mutant Murder Hornets during an invasion. Soon the local snakes begin to enlarge too so they unleash the Cocaine Cougar and Ebola Rex in what results in an all-out battle in LA.
Big Cats,"When Ichabod Price, a respected cryptozoologist, decides to shoot a documentary about alleged panther sightings in the English countryside, he soon discovers more than just big cats lurking in the woods."
Big/Bad/Wolf,"In a distant future where Earth is no longer able to sustain life on the surface, a lonely man is building a virtual forested world from deep within his bunker."
Bigfoot,"Five filmmakers journey into the Canadian wilderness in search of the Legend of Bigfoot, never to return."
Bigfoot Exorcist,"A demonic cult summons Bigfoot to kill. Claude gets attacked, inheriting Bigfoot's curse to turn into a bloodthirsty beast nightly. A nun exorcist tries to free Claude from this nightmare before it's too late."
Bigfoot: The Movie - The Sequel,N/A
Bijt,"Mark's life has lost all color. But then, at his grandfather's death bed, he meets Lisa, who is almost as destructive as he is."
Birthright,"After his mother dies, Thomas and partner Beni visit Brazil, where he inherits a house from an unknown grandmother. Two aunts welcome him warmly, but Beni senses something sinister behind the peaceful setting."
Bisikan Setan,"Two detectives, Khairul and Juwita, must solve the mystery behind a series of mass suicides that occurred in an apartment unit. However, anyone who steps into that haunted unit will meet the same fate. Can the real secret behind apartment unit D-07-08 be uncovered?"
Biswas Villa-An Unfinished Story,"A young female journalist experiences ghostly encounters in a rented house, which leave her uncertain whether they're real, just bad dreams, or connected to her past life."
Bitches Giving Stitches,"Three unassuming ladies are heading to a Halloween party on Halloween night when they are suddenly apprehended by a mysterious cult and dragged into their lair. In the cult's eerie underground chamber, it is revealed that one of their boyfriends, Spencer, has made a sinister deal with the devil. Faced with imminent danger, the girls must summon all their courage to brave the cult's dark threats. But in a chilling turn of events, the cult discovers that sometimes dangerous things come in the most unlikely of packages."
Black,"A young couple move into a serene row house, eager for peace and privacy. A violent storm and unsettling forces unravel their marriage. Vasanth must uncover the truth behind these supernatural occurrences before everything falls apart."
Black Cab,"A couple's jovial cab driver diverts them to a remote, haunted road, revealing disturbing motives and his true intentions."
